id_pais,ano,valor
137,2015,0.932
137,2016,0.933
137,2017,0.936
137,2018,0.939
137,2019,0.941
137,2020,0.938
137,2021,0.941
137,2022,0.946
139,1990,0.812
139,1991,0.815
139,1992,0.823
139,1993,0.839
139,1994,0.852
139,1995,0.859
139,1996,0.863
139,1997,0.871
139,1998,0.88
139,1999,0.885
139,2000,0.894
139,2001,0.9
139,2002,0.904
139,2003,0.908
139,2004,0.912
139,2005,0.917
139,2006,0.918
139,2007,0.919
139,2008,0.919
139,2009,0.922
139,2010,0.924
139,2011,0.924
139,2012,0.927
139,2013,0.93
139,2014,0.931
139,2015,0.933
139,2016,0.935
139,2017,0.935
139,2018,0.936
139,2019,0.937
139,2020,0.935
139,2021,0.936
139,2022,0.939
140,1990,0.487
140,1991,0.497
140,1992,0.502
140,1993,0.505
140,1994,0.511
140,1995,0.52
140,1996,0.53
140,1997,0.539
140,1998,0.541
140,1999,0.556
140,2000,0.563
140,2001,0.568
140,2002,0.573
140,2003,0.575
140,2004,0.58
140,2005,0.585
140,2006,0.59
140,2007,0.596
140,2008,0.602
140,2009,0.603
140,2010,0.611
140,2011,0.619
140,2012,0.625
140,2013,0.631
140,2014,0.638
140,2015,0.644
140,2016,0.65
140,2017,0.656
140,2018,0.658
140,2019,0.661
140,2020,0.652
140,2021,0.665
140,2022,0.669
141,1990,0.212
141,1991,0.214
141,1992,0.218
141,1993,0.223
141,1994,0.229
141,1995,0.235
141,1996,0.24
141,1997,0.245
141,1998,0.253
141,1999,0.256
141,2000,0.26
141,2001,0.266
141,2002,0.271
141,2003,0.276
141,2004,0.286
141,2005,0.296
141,2006,0.303
141,2007,0.309
141,2008,0.318
141,2009,0.325
141,2010,0.336
141,2011,0.344
141,2012,0.352
141,2013,0.358
141,2014,0.363
141,2015,0.367
141,2016,0.372
141,2017,0.377
141,2018,0.383
141,2019,0.39
141,2020,0.391
141,2021,0.389
141,2022,0.394
142,2003,0.449
142,2004,0.461
142,2005,0.468
142,2006,0.475
142,2007,0.479
142,2008,0.482
142,2009,0.486
142,2010,0.488
142,2011,0.494
142,2012,0.499
142,2013,0.504
142,2014,0.513
142,2015,0.52
142,2016,0.526
142,2017,0.528
142,2018,0.53
142,2019,0.537
142,2020,0.539
142,2021,0.542
142,2022,0.548
144,1995,0.644
144,1996,0.65
144,1997,0.654
144,1998,0.661
144,1999,0.669
144,2000,0.676
144,2001,0.681
144,2002,0.684
144,2003,0.69
144,2004,0.697
144,2005,0.704
144,2006,0.712
144,2007,0.717
144,2008,0.736
144,2009,0.74
144,2010,0.746
144,2011,0.751
144,2012,0.755
144,2013,0.763
144,2014,0.769
144,2015,0.777
144,2016,0.782
144,2017,0.789
144,2018,0.796
144,2019,0.787
144,2020,0.766
144,2021,0.764
144,2022,0.765
146,1990,0.845
146,1991,0.853
146,1992,0.859
146,1993,0.867
146,1994,0.883
146,1995,0.88
146,1996,0.887
146,1997,0.893
146,1998,0.903
146,1999,0.907
146,2000,0.914
146,2001,0.913
146,2002,0.915
146,2003,0.923
146,2004,0.929
146,2005,0.93
146,2006,0.934
146,2007,0.936
146,2008,0.935
146,2009,0.935
146,2010,0.938
146,2011,0.94
146,2012,0.941
146,2013,0.945
146,2014,0.949
146,2015,0.952
146,2016,0.956
146,2017,0.959
146,2018,0.96
146,2019,0.961
146,2020,0.963
146,2021,0.964
146,2022,0.966
147,2000,0.702
147,2001,0.714
147,2002,0.722
147,2003,0.732
147,2004,0.74
147,2005,0.748
147,2006,0.757
147,2007,0.764
147,2008,0.77
147,2009,0.784
147,2010,0.798
147,2011,0.811
147,2012,0.813
147,2013,0.814
147,2014,0.818
147,2015,0.824
147,2016,0.832
147,2017,0.833
147,2018,0.838
147,2019,0.841
147,2020,0.823
147,2021,0.81
147,2022,0.819
148,1990,0.394
148,1991,0.399
148,1992,0.403
148,1993,0.405
148,1994,0.409
148,1995,0.411
148,1996,0.417
148,1997,0.419
148,1998,0.423
148,1999,0.429
148,2000,0.434
148,2001,0.441
148,2002,0.447
148,2003,0.455
148,2004,0.468
148,2005,0.477
148,2006,0.485
148,2007,0.49
148,2008,0.489
148,2009,0.493
148,2010,0.496
148,2011,0.5
148,2012,0.504
148,2013,0.51
148,2014,0.519
148,2015,0.525
148,2016,0.533
148,2017,0.534
148,2018,0.535
148,2019,0.537
148,2020,0.536
148,2021,0.537
148,2022,0.54
149,2000,0.747
149,2001,0.754
149,2002,0.76
149,2003,0.765
149,2004,0.768
149,2005,0.779
149,2006,0.78
149,2007,0.782
149,2008,0.78
149,2009,0.777
149,2010,0.775
149,2011,0.778
149,2012,0.78
149,2013,0.776
149,2014,0.777
149,2015,0.782
149,2016,0.784
149,2017,0.786
149,2018,0.788
149,2019,0.792
149,2020,0.794
149,2021,0.802
149,2022,0.797
150,2004,0.652
150,2005,0.662
150,2006,0.662
150,2007,0.672
150,2008,0.678
150,2009,0.683
150,2010,0.688
150,2011,0.696
150,2012,0.702
150,2013,0.704
150,2014,0.698
150,2015,0.71
150,2016,0.715
150,2017,0.718
150,2018,0.722
150,2019,0.739
150,2020,0.715
150,2021,0.715
150,2022,0.716
151,1990,0.672
151,1991,0.675
151,1992,0.681
151,1993,0.687
151,1994,0.689
151,1995,0.692
151,1996,0.697
151,1997,0.703
151,1998,0.71
151,1999,0.716
151,2000,0.722
151,2001,0.727
151,2002,0.734
151,2003,0.738
151,2004,0.744
151,2005,0.75
151,2006,0.756
151,2007,0.765
151,2008,0.769
151,2009,0.771
151,2010,0.775
151,2011,0.781
151,2012,0.788
151,2013,0.794
151,2014,0.797
151,2015,0.802
151,2016,0.809
151,2017,0.814
151,2018,0.817
151,2019,0.82
151,2020,0.809
151,2021,0.813
151,2022,0.82
152,1990,0.394
152,1991,0.402
152,1992,0.412
152,1993,0.425
152,1994,0.438
152,1995,0.44
152,1996,0.445
152,1997,0.445
152,1998,0.447
152,1999,0.454
152,2000,0.456
152,2001,0.459
152,2002,0.462
152,2003,0.467
152,2004,0.465
152,2005,0.469
152,2006,0.471
152,2007,0.479
152,2008,0.484
152,2009,0.489
152,2010,0.497
152,2011,0.502
152,2012,0.51
152,2013,0.516
152,2014,0.531
152,2015,0.54
152,2016,0.547
152,2017,0.553
152,2018,0.556
152,2019,0.562
152,2020,0.567
152,2021,0.564
152,2022,0.568
153,1990,0.604
153,1991,0.609
153,1992,0.614
153,1993,0.621
153,1994,0.626
153,1995,0.631
153,1996,0.64
153,1997,0.646
153,1998,0.652
153,1999,0.656
153,2000,0.656
153,2001,0.662
153,2002,0.669
153,2003,0.663
153,2004,0.671
153,2005,0.673
153,2006,0.674
