id_unidade,cod_equipamento,nome_unidade,num_unidade,data_entrada_teste,data_entrada_operacao,data_desativacao,potencia_efetiva,combustivel,id_usina
4754,MGSF020UG06,UG 17P3 MW VST1_S FRANSC02         R06 MG,,2024-08-14,2024-10-23,,17.3888,FOTOVOLTAICA,1694
4755,MGSF020UG07,UG 17P3 MW VST1_S FRANSC02         R07 MG,,2024-08-14,2024-10-23,,17.3888,FOTOVOLTAICA,1694
4756,MGSF020UG08,UG 15P2 MW VST1_S FRANSC02         R08 MG,,2024-08-14,2024-10-23,,15.2152,FOTOVOLTAICA,1694
4757,MGSF030UG13,UG 17P3 MW VST1_S FRANSC03         R13 MG,,2024-08-14,2024-10-09,,17.3888,FOTOVOLTAICA,1695
4758,MGSF030UG14,UG 17P3 MW VST1_S FRANSC03         R14 MG,,2024-08-14,2024-10-09,,17.3888,FOTOVOLTAICA,1695
4759,MGSF030UG15,UG 15P2 MW VST1_S FRANSC03         R15 MG,,2024-08-14,2024-10-09,,15.2152,FOTOVOLTAICA,1695
4760,MGSJP10UGR1,UG   16 MW SJP_S_J_PRCTU_1          R1 MG,,2023-11-09,2023-11-29,,16.0,FOTOVOLTAICA,1696
4761,MGSJP10UGR2,UG   14 MW SJP_S_J_PRCTU_1          R2 MG,,2023-11-09,2023-11-29,,14.0,FOTOVOLTAICA,1696
4762,MGSJP20UGR4,UG   14 MW SJP_S_J_PRCTU_2          R4 MG,,2023-11-09,2023-11-29,,14.0,FOTOVOLTAICA,1697
4763,MGSJP20UGR3,UG   16 MW SJP_S_J_PRCTU_2          R3 MG,,2023-11-09,2023-11-29,,16.0,FOTOVOLTAICA,1697
4764,MGSJP30UGR5,UG   16 MW SJP_S_J_PRCTU_3          R5 MG,,2023-11-09,2023-11-29,,16.0,FOTOVOLTAICA,1698
4765,MGSJP30UGR6,UG   14 MW SJP_S_J_PRCTU_3          R6 MG,,2023-11-09,2023-11-29,,14.0,FOTOVOLTAICA,1698
4766,MGSJP40UGR7,UG   16 MW SJP_S_J_PRCTU_4          R7 MG,,2023-11-09,2023-11-29,,16.0,FOTOVOLTAICA,1699
4767,MGSJP40UGR8,UG   14 MW SJP_S_J_PRCTU_4          R8 MG,,2023-11-09,2023-11-29,,14.0,FOTOVOLTAICA,1699
4768,MGSJP50UGR7,UG   16 MW SJP_S_J_PRCTU_5          R9 MG,,2023-11-09,2023-11-29,,16.0,FOTOVOLTAICA,1700
4769,MGSJP50UGR8,UG   14 MW SJP_S_J_PRCTU_5         R10 MG,,2023-11-09,2023-11-29,,14.0,FOTOVOLTAICA,1700
4770,MGSJP60R10,UG   14 MW SJP_S_J_PRCTU_6         R12 MG,,2023-11-09,2023-11-29,,14.0,FOTOVOLTAICA,1701
4771,MGSJP60R9,UG   16 MW SJP_S_J_PRCTU_6         R11 MG,,2023-11-09,2023-11-29,,16.0,FOTOVOLTAICA,1701
4772,MGSJP70R9,UG   16 MW SJP_S_J_PRCTU_7         R13 MG,,2023-11-09,2023-11-29,,16.0,FOTOVOLTAICA,1702
4773,MGSJP70R10,UG   14 MW SJP_S_J_PRCTU_7         R14 MG,,2023-11-09,2023-11-29,,14.0,FOTOVOLTAICA,1702
4774,MGIRA10UGR1,UG 16P0 MW JAN_IRAPURU 1            R1 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1703
4775,MGIRA10UGR2,UG 16P0 MW JAN_IRAPURU 1            R2 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1703
4776,MGIRA10UGR3,UG 16P0 MW JAN_IRAPURU 1            R3 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1703
4777,MGIRA20UGR2,UG 16P0 MW JAN_IRAPURU 2            R2 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1704
4778,MGIRA20UGR3,UG 16P0 MW JAN_IRAPURU 2            R3 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1704
4779,MGIRA20UGR1,UG 16P0 MW JAN_IRAPURU 2            R1 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1704
4780,MGIRA30UGR1,UG 16P0 MW JAN_IRAPURU 3            R3 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1705
4781,MGIRA30UGR2,UG 16P0 MW JAN_IRAPURU 3            R2 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1705
4782,MGIRA30UGR3,UG 16P0 MW JAN_IRAPURU 3            R1 MG,,2024-12-19,2025-01-01,,16.039,FOTOVOLTAICA,1705
